GUID e7fabb95dca140d7bf6c9294114dfb0e
//Barter 7
Response_21_Quest 59024
Response_21_Rewards 1
Response_21_Reward_0_Type Quest
Response_21_Reward_0_ID 59024
Response_21_Conditions 2
Response_21_Condition_0_Type Quest
Response_21_Condition_0_ID 59024
Response_21_Condition_0_Status None
Response_21_Condition_0_Logic Equal
Response_21_Condition_1_Type Flag_Bool
Response_21_Condition_1_ID 59005
Response_21_Condition_1_Value True
Response_21_Condition_1_Logic Equal
Response_21_Dialogue 59005

Response_22_Dialogue 59003
Response_22_Quest 59024
Response_22_Conditions 1
Response_22_Condition_0_Type Quest
Response_22_Condition_0_ID 59024
Response_22_Condition_0_Status Ready
Response_22_Condition_0_Logic Equal
Response_22_Condition_0_Reset

Response_23_Quest 59024
Response_23_Rewards 1
Response_23_Reward_0_Type Quest
Response_23_Reward_0_ID 59024
Response_23_Conditions 2
Response_23_Condition_0_Type Quest
Response_23_Condition_0_ID 59024
Response_23_Condition_0_Status Completed
Response_23_Condition_0_Logic Equal
Response_23_Condition_1_Type Flag_Bool
Response_23_Condition_1_ID 59005
Response_23_Condition_1_Value True
Response_23_Condition_1_Logic Equal
Response_23_Dialogue 59005




//Barter 8
Response_24_Quest 59025
Response_24_Rewards 1
Response_24_Reward_0_Type Quest
Response_24_Reward_0_ID 59025
Response_24_Conditions 2
Response_24_Condition_0_Type Quest
Response_24_Condition_0_ID 59025
Response_24_Condition_0_Status None
Response_24_Condition_0_Logic Equal
Response_24_Condition_1_Type Flag_Bool
Response_24_Condition_1_ID 59006
Response_24_Condition_1_Value True
Response_24_Condition_1_Logic Equal
Response_24_Dialogue 59005

Response_25_Dialogue 59003
Response_25_Quest 59025
Response_25_Conditions 1
Response_25_Condition_0_Type Quest
Response_25_Condition_0_ID 59025
Response_25_Condition_0_Status Ready
Response_25_Condition_0_Logic Equal
Response_25_Condition_0_Reset

Response_26_Quest 59025
Response_26_Rewards 1
Response_26_Reward_0_Type Quest
Response_26_Reward_0_ID 59025
Response_26_Conditions 2
Response_26_Condition_0_Type Quest
Response_26_Condition_0_ID 59025
Response_26_Condition_0_Status Completed
Response_26_Condition_0_Logic Equal
Response_26_Condition_1_Type Flag_Bool
Response_26_Condition_1_ID 59006
Response_26_Condition_1_Value True
Response_26_Condition_1_Logic Equal
Response_26_Dialogue 59005

//Barter 9
Response_27_Quest 59104
Response_27_Rewards 1
Response_27_Reward_0_Type Quest
Response_27_Reward_0_ID 59104
Response_27_Conditions 2
Response_27_Condition_0_Type Quest
Response_27_Condition_0_ID 59104
Response_27_Condition_0_Status None
Response_27_Condition_0_Logic Equal
Response_27_Condition_1_Type Flag_Bool
Response_27_Condition_1_ID 59006
Response_27_Condition_1_Value True
Response_27_Condition_1_Logic Equal
Response_27_Dialogue 59005

Response_28_Dialogue 59003
Response_28_Quest 59104
Response_28_Conditions 1
Response_28_Condition_0_Type Quest
Response_28_Condition_0_ID 59104
Response_28_Condition_0_Status Ready
Response_28_Condition_0_Logic Equal
Response_28_Condition_0_Reset

Response_29_Quest 59104
Response_29_Rewards 1
Response_29_Reward_0_Type Quest
Response_29_Reward_0_ID 59104
Response_29_Conditions 2
Response_29_Condition_0_Type Quest
Response_29_Condition_0_ID 59104
Response_29_Condition_0_Status Completed
Response_29_Condition_0_Logic Equal
Response_29_Condition_1_Type Flag_Bool
Response_29_Condition_1_ID 59006
Response_29_Condition_1_Value True
Response_29_Condition_1_Logic Equal
Response_29_Dialogue 59005

//Barter 10
Response_30_Quest 59331
Response_30_Rewards 1
Response_30_Reward_0_Type Quest
Response_30_Reward_0_ID 59331
Response_30_Conditions 2
Response_30_Condition_0_Type Quest
Response_30_Condition_0_ID 59331
Response_30_Condition_0_Status None
Response_30_Condition_0_Logic Equal
Response_30_Condition_1_Type Flag_Bool
Response_30_Condition_1_ID 59006
Response_30_Condition_1_Value True
Response_30_Condition_1_Logic Equal
Response_30_Dialogue 59005

Response_31_Dialogue 59003
Response_31_Quest 59331
Response_31_Conditions 1
Response_31_Condition_0_Type Quest
Response_31_Condition_0_ID 59331
Response_31_Condition_0_Status Ready
Response_31_Condition_0_Logic Equal
Response_31_Condition_0_Reset

Response_32_Quest 59331
Response_32_Rewards 1
Response_32_Reward_0_Type Quest
Response_32_Reward_0_ID 59331
Response_32_Conditions 2
Response_32_Condition_0_Type Quest
Response_32_Condition_0_ID 59331
Response_32_Condition_0_Status Completed
Response_32_Condition_0_Logic Equal
Response_32_Condition_1_Type Flag_Bool
Response_32_Condition_1_ID 59006
Response_32_Condition_1_Value True
Response_32_Condition_1_Logic Equal
Response_32_Dialogue 59005

//Barter 11
Response_33_Quest 59332
Response_33_Rewards 1
Response_33_Reward_0_Type Quest
Response_33_Reward_0_ID 59332
Response_33_Conditions 2
Response_33_Condition_0_Type Quest
Response_33_Condition_0_ID 59332
Response_33_Condition_0_Status None
Response_33_Condition_0_Logic Equal
Response_33_Condition_1_Type Flag_Bool
Response_33_Condition_1_ID 59006
Response_33_Condition_1_Value True
Response_33_Condition_1_Logic Equal
Response_33_Dialogue 59005

Response_34_Dialogue 59003
Response_34_Quest 59332
Response_34_Conditions 1
Response_34_Condition_0_Type Quest
Response_34_Condition_0_ID 59332
Response_34_Condition_0_Status Ready
Response_34_Condition_0_Logic Equal
Response_34_Condition_0_Reset

Response_35_Quest 59332
Response_35_Rewards 1
Response_35_Reward_0_Type Quest
Response_35_Reward_0_ID 59332
Response_35_Conditions 2
Response_35_Condition_0_Type Quest
Response_35_Condition_0_ID 59332
Response_35_Condition_0_Status Completed
Response_35_Condition_0_Logic Equal
Response_35_Condition_1_Type Flag_Bool
Response_35_Condition_1_ID 59006
Response_35_Condition_1_Value True
Response_35_Condition_1_Logic Equal
Response_35_Dialogue 59005

//t4


Response_36_Quest 59333
Response_36_Rewards 1
Response_36_Reward_0_Type Quest
Response_36_Reward_0_ID 59333
Response_36_Conditions 2
Response_36_Condition_0_Type Quest
Response_36_Condition_0_ID 59333
Response_36_Condition_0_Status None
Response_36_Condition_0_Logic Equal
Response_36_Condition_1_Type Flag_Bool
Response_36_Condition_1_ID 59007
Response_36_Condition_1_Value True
Response_36_Condition_1_Logic Equal
Response_36_Dialogue 59005

Response_37_Dialogue 59003
Response_37_Quest 59333
Response_37_Conditions 1
Response_37_Condition_0_Type Quest
Response_37_Condition_0_ID 59333
Response_37_Condition_0_Status Ready
Response_37_Condition_0_Logic Equal
Response_37_Condition_0_Reset

Response_38_Quest 59333
Response_38_Rewards 1
Response_38_Reward_0_Type Quest
Response_38_Reward_0_ID 59333
Response_38_Conditions 2
Response_38_Condition_0_Type Quest
Response_38_Condition_0_ID 59333
Response_38_Condition_0_Status Completed
Response_38_Condition_0_Logic Equal
Response_38_Condition_1_Type Flag_Bool
Response_38_Condition_1_ID 59007
Response_38_Condition_1_Value True
Response_38_Condition_1_Logic Equal
Response_38_Dialogue 59005



Response_39_Quest 59105
Response_39_Rewards 1
Response_39_Reward_0_Type Quest
Response_39_Reward_0_ID 59105
Response_39_Conditions 2
Response_39_Condition_0_Type Quest
Response_39_Condition_0_ID 59105
Response_39_Condition_0_Status None
Response_39_Condition_0_Logic Equal
Response_39_Condition_1_Type Flag_Bool
Response_39_Condition_1_ID 59007
Response_39_Condition_1_Value True
Response_39_Condition_1_Logic Equal
Response_39_Dialogue 59005

Response_40_Dialogue 59003
Response_40_Quest 59105
Response_40_Conditions 1
Response_40_Condition_0_Type Quest
Response_40_Condition_0_ID 59105
Response_40_Condition_0_Status Ready
Response_40_Condition_0_Logic Equal
Response_40_Condition_0_Reset

Response_41_Quest 59105
Response_41_Rewards 1
Response_41_Reward_0_Type Quest
Response_41_Reward_0_ID 59105
Response_41_Conditions 2
Response_41_Condition_0_Type Quest
Response_41_Condition_0_ID 59105
Response_41_Condition_0_Status Completed
Response_41_Condition_0_Logic Equal
Response_41_Condition_1_Type Flag_Bool
Response_41_Condition_1_ID 59007
Response_41_Condition_1_Value True
Response_41_Condition_1_Logic Equal
Response_41_Dialogue 59005




Response_42_Quest 59106
Response_42_Rewards 1
Response_42_Reward_0_Type Quest
Response_42_Reward_0_ID 59106
Response_42_Conditions 2
Response_42_Condition_0_Type Quest
Response_42_Condition_0_ID 59106
Response_42_Condition_0_Status None
Response_42_Condition_0_Logic Equal
Response_42_Condition_1_Type Flag_Bool
Response_42_Condition_1_ID 59007
Response_42_Condition_1_Value True
Response_42_Condition_1_Logic Equal
Response_42_Dialogue 59005

Response_43_Dialogue 59003
Response_43_Quest 59106
Response_43_Conditions 1
Response_43_Condition_0_Type Quest
Response_43_Condition_0_ID 59106
Response_43_Condition_0_Status Ready
Response_43_Condition_0_Logic Equal
Response_43_Condition_0_Reset

Response_44_Quest 59106
Response_44_Rewards 1
Response_44_Reward_0_Type Quest
Response_44_Reward_0_ID 59106
Response_44_Conditions 2
Response_44_Condition_0_Type Quest
Response_44_Condition_0_ID 59106
Response_44_Condition_0_Status Completed
Response_44_Condition_0_Logic Equal
Response_44_Condition_1_Type Flag_Bool
Response_44_Condition_1_ID 59007
Response_44_Condition_1_Value True
Response_44_Condition_1_Logic Equal
Response_44_Dialogue 59005



Response_45_Quest 59335
Response_45_Rewards 1
Response_45_Reward_0_Type Quest
Response_45_Reward_0_ID 59335
Response_45_Conditions 2
Response_45_Condition_0_Type Quest
Response_45_Condition_0_ID 59335
Response_45_Condition_0_Status None
Response_45_Condition_0_Logic Equal
Response_45_Condition_1_Type Flag_Bool
Response_45_Condition_1_ID 59007
Response_45_Condition_1_Value True
Response_45_Condition_1_Logic Equal
Response_45_Dialogue 59005

Response_46_Dialogue 59003
Response_46_Quest 59335
Response_46_Conditions 1
Response_46_Condition_0_Type Quest
Response_46_Condition_0_ID 59335
Response_46_Condition_0_Status Ready
Response_46_Condition_0_Logic Equal
Response_46_Condition_0_Reset

Response_47_Quest 59335
Response_47_Rewards 1
Response_47_Reward_0_Type Quest
Response_47_Reward_0_ID 59335
Response_47_Conditions 2
Response_47_Condition_0_Type Quest
Response_47_Condition_0_ID 59335
Response_47_Condition_0_Status Completed
Response_47_Condition_0_Logic Equal
Response_47_Condition_1_Type Flag_Bool
Response_47_Condition_1_ID 59007
Response_47_Condition_1_Value True
Response_47_Condition_1_Logic Equal
Response_47_Dialogue 59005




Response_48_Quest 59336
Response_48_Rewards 1
Response_48_Reward_0_Type Quest
Response_48_Reward_0_ID 59336
Response_48_Conditions 2
Response_48_Condition_0_Type Quest
Response_48_Condition_0_ID 59336
Response_48_Condition_0_Status None
Response_48_Condition_0_Logic Equal
Response_48_Condition_1_Type Flag_Bool
Response_48_Condition_1_ID 59007
Response_48_Condition_1_Value True
Response_48_Condition_1_Logic Equal
Response_48_Dialogue 59005

Response_49_Dialogue 59003
Response_49_Quest 59336
Response_49_Conditions 1
Response_49_Condition_0_Type Quest
Response_49_Condition_0_ID 59336
Response_49_Condition_0_Status Ready
Response_49_Condition_0_Logic Equal
Response_49_Condition_0_Reset

Response_50_Quest 59336
Response_50_Rewards 1
Response_50_Reward_0_Type Quest
Response_50_Reward_0_ID 59336
Response_50_Conditions 2
Response_50_Condition_0_Type Quest
Response_50_Condition_0_ID 59336
Response_50_Condition_0_Status Completed
Response_50_Condition_0_Logic Equal
Response_50_Condition_1_Type Flag_Bool
Response_50_Condition_1_ID 59007
Response_50_Condition_1_Value True
Response_50_Condition_1_Logic Equal
Response_50_Dialogue 59005



Response_51_Quest 59322
Response_51_Rewards 1
Response_51_Reward_0_Type Quest
Response_51_Reward_0_ID 59322
Response_51_Conditions 2
Response_51_Condition_0_Type Quest
Response_51_Condition_0_ID 59322
Response_51_Condition_0_Status None
Response_51_Condition_0_Logic Equal
Response_51_Condition_1_Type Flag_Bool
Response_51_Condition_1_ID 59007
Response_51_Condition_1_Value True
Response_51_Condition_1_Logic Equal
Response_51_Dialogue 59005

Response_52_Dialogue 59003
Response_52_Quest 59322
Response_52_Conditions 1
Response_52_Condition_0_Type Quest
Response_52_Condition_0_ID 59322
Response_52_Condition_0_Status Ready
Response_52_Condition_0_Logic Equal
Response_52_Condition_0_Reset

Response_53_Quest 59322
Response_53_Rewards 1
Response_53_Reward_0_Type Quest
Response_53_Reward_0_ID 59322
Response_53_Conditions 2
Response_53_Condition_0_Type Quest
Response_53_Condition_0_ID 59322
Response_53_Condition_0_Status Completed
Response_53_Condition_0_Logic Equal
Response_53_Condition_1_Type Flag_Bool
Response_53_Condition_1_ID 59007
Response_53_Condition_1_Value True
Response_53_Condition_1_Logic Equal
Response_53_Dialogue 59005




//t5

Response_54_Quest 59334
Response_54_Rewards 1
Response_54_Reward_0_Type Quest
Response_54_Reward_0_ID 59334
Response_54_Conditions 2
Response_54_Condition_0_Type Quest
Response_54_Condition_0_ID 59334
Response_54_Condition_0_Status None
Response_54_Condition_0_Logic Equal
Response_54_Condition_1_Type Flag_Bool
Response_54_Condition_1_ID 59008
Response_54_Condition_1_Value True
Response_54_Condition_1_Logic Equal
Response_54_Dialogue 59005

Response_55_Dialogue 59003
Response_55_Quest 59334
Response_55_Conditions 1
Response_55_Condition_0_Type Quest
Response_55_Condition_0_ID 59334
Response_55_Condition_0_Status Ready
Response_55_Condition_0_Logic Equal
Response_55_Condition_0_Reset

Response_56_Quest 59334
Response_56_Rewards 1
Response_56_Reward_0_Type Quest
Response_56_Reward_0_ID 59334
Response_56_Conditions 2
Response_56_Condition_0_Type Quest
Response_56_Condition_0_ID 59334
Response_56_Condition_0_Status Completed
Response_56_Condition_0_Logic Equal
Response_56_Condition_1_Type Flag_Bool
Response_56_Condition_1_ID 59008
Response_56_Condition_1_Value True
Response_56_Condition_1_Logic Equal
Response_56_Dialogue 59005
//t5_ama
Response_57_Quest 60071
Response_57_Rewards 1
Response_57_Reward_0_Type Quest
Response_57_Reward_0_ID 60071
Response_57_Conditions 2
Response_57_Condition_0_Type Quest
Response_57_Condition_0_ID 60071
Response_57_Condition_0_Status None
Response_57_Condition_0_Logic Equal
Response_57_Condition_1_Type Flag_Bool
Response_57_Condition_1_ID 59008
Response_57_Condition_1_Value True
Response_57_Condition_1_Logic Equal
Response_57_Dialogue 59005

Response_58_Dialogue 59003
Response_58_Quest 60071
Response_58_Conditions 1
Response_58_Condition_0_Type Quest
Response_58_Condition_0_ID 60071
Response_58_Condition_0_Status Ready
Response_58_Condition_0_Logic Equal
Response_58_Condition_0_Reset

Response_59_Quest 60071
Response_59_Rewards 1
Response_59_Reward_0_Type Quest
Response_59_Reward_0_ID 60071
Response_59_Conditions 2
Response_59_Condition_0_Type Quest
Response_59_Condition_0_ID 60071
Response_59_Condition_0_Status Completed
Response_59_Condition_0_Logic Equal
Response_59_Condition_1_Type Flag_Bool
Response_59_Condition_1_ID 59008
Response_59_Condition_1_Value True
Response_59_Condition_1_Logic Equal
Response_59_Dialogue 59005


Response_60_Dialogue 59001
